order_id,customer_id,order_date,status,num_items,subtotal,tax,shipping,total,payment_method,shipping_address,delivery_date
ORD-0000001,CUST-001502,2026-01-11 10:55:43.424038,delivered,1,950.97,76.08,0.0,1027.05,debit_card,"184 Kim Keys Apt. 704, Jessicahaven, Equatorial Guinea",2026-01-14 10:55:43.424038
ORD-0000002,CUST-001108,2025-11-12 13:12:52.141701,delivered,1,239.98,19.2,0.0,259.18,apple_pay,"636 Kimberly Forest, West Shawnhaven, Ecuador",2025-11-15 13:12:52.141701
ORD-0000003,CUST-002733,2024-11-13 17:50:36.449188,delivered,1,198.26,15.86,0.0,214.12,paypal,"8662 Jones Village, Brewerfurt, Somalia",2024-11-17 17:50:36.449188
ORD-0000004,CUST-002000,2026-03-06 18:27:51.139403,returned,1,608.94,48.72,0.0,657.66,paypal,"176 Zimmerman Heights, East Denise, Korea",
ORD-0000005,CUST-003146,2025-12-09 15:43:22.081420,delivered,3,580.22,46.42,0.0,626.64,debit_card,"6146 Karen Fords, Andrewberg, Fiji",2025-12-19 15:43:22.081420
ORD-0000006,CUST-001812,2025-08-19 05:23:54.466877,delivered,2,210.27,16.82,0.0,227.09,paypal,"483 Jones Crest, Christinaport, Eritrea",2025-08-25 05:23:54.466877
ORD-0000007,CUST-001693,2024-11-19 02:51:35.162932,delivered,1,552.63,44.21,0.0,596.84,paypal,"93497 Ward Island Apt. 141, West Alexis, Norway",2024-11-28 02:51:35.162932
ORD-0000008,CUST-001001,2025-11-25 14:26:10.178450,delivered,1,78.76,6.3,0.0,85.06,debit_card,"266 Randolph Lodge, Port Shannonville, Azerbaijan",2025-12-01 14:26:10.178450
ORD-0000009,CUST-004297,2025-03-21 12:35:49.739625,delivered,2,2644.99,211.6,0.0,2856.59,debit_card,"4759 Mccoy Causeway Suite 325, South Brian, Congo",2025-03-25 12:35:49.739625
ORD-0000010,CUST-004049,2026-03-19 16:33:28.407419,delivered,1,12.39,0.99,9.99,23.37,paypal,"36230 Webb Forges Suite 462, East Melissaville, Pitcairn Islands",2026-03-23 16:33:28.407419
ORD-0000011,CUST-002546,2026-01-27 10:34:29.916306,delivered,1,368.85,29.51,0.0,398.36,apple_pay,"66696 Ramos Lodge, Autumnshire, Benin",2026-01-30 10:34:29.916306
ORD-0000012,CUST-003095,2026-01-26 13:56:59.562296,delivered,3,1002.33,80.19,0.0,1082.52,paypal,"1056 Dean Heights, New John, Guadeloupe",2026-02-02 13:56:59.562296
